Name,Player_ID,FG%_RT,FT%_RT,FG3M_RT,PTS_RT,REB_RT,AST_RT,TOV_RT,Total_Rating
Jabari Smith Jr.,1631095,0.34710208190777325,0.25060827250608275,0.3847517730496454,0.37159395736269946,0.4754067347710934,0.08950997853587249,-0.2173430915945886,43.66904803729743
Drew Timme,1631166,0.7504778084519006,0.14598540145985403,0.14893617021276595,0.39644218551461247,0.45289443813847896,0.14385532264693796,-0.34930139720558884,43.352371426358346
Klay Thompson,202691,0.22771764452318982,0.17605403638740602,0.680215941568752,0.4364960458191887,0.25401934707845564,0.1803559269006386,-0.2658861381714184,43.344233021316846
Jaden Ivey,1631093,0.3668124867275428,0.29489051094890517,0.46914893617021275,0.5367217280813216,0.29557321225879685,0.3423756678997123,-0.6217564870259481,43.21061183844739
Jrue Holiday,201950,0.3791887874283287,0.18978102189781024,0.3967351430667645,0.34228629014590545,0.3045324670241497,0.33483566478166593,-0.2673962419987611,43.11301715373347
Jaden McDaniels,1630183,0.450841054643404,0.18978102189781024,0.28807390817469203,0.3803918946030897,0.422471473803692,0.17489778700759295,-0.23164197919949578,42.98090438551142
Ayo Dosunmu,1630245,0.4841182933697729,0.18692478578229133,0.3011100832562442,0.3752278879619911,0.25028376844494893,0.39028574492038814,-0.3143712574850299,42.94918855615768
Chuma Okeke,1629643,0.5559930831538392,0.07716371220020855,0.3191489361702128,0.20911236159012525,0.4392735527809308,0.16029593094944514,-0.08982035928143713,42.887286947158735
Khris Middleton,203114,0.44608771013527854,0.2714539356875124,0.2898217366302473,0.36264981627116316,0.2647789673896371,0.3499183523844437,-0.3172034309758861,42.79335676131049
Max Strus,1629622,0.39018994360680487,0.12262773722627739,0.49645390070921985,0.2853028377806015,0.30192962542565266,0.26661186463899167,-0.2049234863606121,42.554313842783294
Dillon Brooks,1628415,0.2743340176022272,0.19890510948905113,0.5523049645390071,0.42354934349851764,0.26716799091940974,0.1498492944238937,-0.21831337325349304,42.2875442494454
Naji Marshall,1630230,0.5284901927076485,0.24191866527632952,0.19858156028368792,0.40467114418829797,0.3530079455164586,0.24660912453760792,-0.3260146373918829,42.273856795349744
Guerschon Yabusele,1627824,0.5011317502154822,0.1704594246457707,0.32853566958698377,0.3260333358248001,0.4048708018962409,0.17897294552839635,-0.2650581190560056,42.214365005677884
Royce O'Neale,1626220,0.37918878742832873,0.08124404950809268,0.5471785383903793,0.2837412297663113,0.34407540837980555,0.19013920906377885,-0.18224420723769852,42.17271914103214
Tari Eason,1631106,0.47677115833837,0.20241437394722067,0.25347790507364976,0.37357052096569254,0.45931197066270846,0.11785070662999148,-0.24182404421925377,42.12779788401127
Daeqwon Plowden,1631342,0.7504778084519006,0.14598540145985403,0.44680851063829785,0.24396442185514614,0.11918274687854712,0.0,-0.06986027944111776,41.99912370738233
Keldon Johnson,1629640,0.46341638941978736,0.24635036496350363,0.26063829787234044,0.3871240999576451,0.3366912599318955,0.1402589395807645,-0.20084830339321358,41.923993481507125
Al Horford,201143,0.3553046983566371,0.12754514022281985,0.41937290033594626,0.2712499164047349,0.43282155445367104,0.18474051960975188,-0.15810484294568758,41.905999512343065
Obi Toppin,1630167,0.57858474316321,0.16970802919708028,0.3102836879432624,0.32359169843286745,0.28504540295119185,0.13666255651459103,-0.17756154357950765,41.73623027974877
Moritz Wagner,1629021,0.6308402350109719,0.26861313868613146,0.20106382978723406,0.39237611181702675,0.35278093076049943,0.12083847102342786,-0.34231536926147704,41.68189573303105
Jordan Clarkson,203903,0.19856169611956392,0.36022884198066685,0.5071880391029326,0.4945224767334044,0.2280577967297604,0.32192488419368814,-0.48713384042725355,41.66014747446398
Dennis Schröder,203471,0.2536321136522414,0.319263725801333,0.38852913968547637,0.40395558256449926,0.1865469081577259,0.46909344341392806,-0.3978998524689751,41.65427490031271
Dyson Daniels,1630700,0.47643115007735953,0.10719499478623566,0.23617021276595745,0.4321655472862589,0.41986379114642447,0.37114673242909985,-0.4221556886227545,41.59513894298145
Grayson Allen,1628960,0.4026610818608533,0.19884218474704254,0.5315480557593544,0.31862594750909173,0.21452894438138478,0.18155533823716996,-0.22764815197191826,41.5770890937389
Jonas Valančiūnas,202685,0.5865754478198735,0.2590254488064707,0.02415181138585394,0.32143960987671283,0.5653127588428383,0.18079114873196256,-0.3228677779575983,41.431195727262434
Malcolm Brogdon,1627763,0.33793445175904285,0.4416058394160584,0.14893617021276595,0.3875476493011436,0.2711407491486946,0.35244554048499793,-0.3318363273453094,41.26042402538383
Aaron Wiggins,1630598,0.4817352789491246,0.14285714285714285,0.3829787234042553,0.3567979669631512,0.2696935300794552,0.1467324290998767,-0.17664670658682635,41.16737720947766
Luguentz Dort,1629652,0.3717999511890537,0.1015361150452119,0.5268339155287393,0.30814162984316035,0.29564436613753026,0.1391317150376355,-0.14389132183394404,41.0402938286914
Jerami Grant,203924,0.1184964960713526,0.3826681161671067,0.5133544590312359,0.4392657276487605,0.248001545632381,0.18548154366817957,-0.2898458402344248,40.994759248284
Brandin Podziemski,1641764,0.3444482942331408,0.15290049942374184,0.3527435610302352,0.3295659733832676,0.3525300197144393,0.2861963787396976,-0.22428826557411494,40.909414464169124
Nikola Jović,1631107,0.41416528940881026,0.22119961916851796,0.3788159111933395,0.32749571846859293,0.27982036223658885,0.2458049643488983,-0.2733663108565478,40.90528509647617
Toumani Camara,1641739,0.42157337886937585,0.15198480151984803,0.37642086855144274,0.34004630032549477,0.412404957007137,0.1903619748999206,-0.3014518907390698,40.83868522424919
Isaiah Joe,1630198,0.3864689643111438,0.11442679261485617,0.5749374217772215,0.30854323940503775,0.18823863256994058,0.12946979038224415,-0.11095456146530469,40.83329313436816
D'Angelo Russell,1626156,0.2120001639264862,0.28198232808298124,0.4428891377379619,0.39162709824115566,0.20323794730868033,0.44822290003677506,-0.3897468221451833,40.80974658686874
Jonathan Kuminga,1630228,0.364095737793224,0.289122307281467,0.23430202387130256,0.48644125577215114,0.3296420364884693,0.1936783856124628,-0.31692712136702206,40.556756731295565
Caris LeVert,1627747,0.419731841448144,0.17845456833626983,0.36592076302274396,0.35700828111992294,0.21822771928451212,0.2857264339470216,-0.24932892835019618,40.43834867997377
Mike Conley,201144,0.35253213976509784,0.19584503088152724,0.41931260229132566,0.2594467793959535,0.18152449139963328,0.38641752821777486,-0.2224781206817135,40.35776079019152
Spencer Dinwiddie,203915,0.3390494338041587,0.29453541132373257,0.3079355951696377,0.3375115903705485,0.18457219989569593,0.36741427000366583,-0.26055996115876356,40.30279274891504
Jeremy Sochan,1631110,0.5785847431632098,0.17761557177615572,0.11583924349881795,0.34843992658478046,0.46613696556942863,0.20459423665342283,-0.3260146373918829,40.16774109327056
Gradey Dick,1641711,0.23479861258582854,0.3284671532846716,0.4716312056737589,0.43879711986446424,0.25558077941732876,0.15664246243777688,-0.32213351075626523,40.13149899924082
Luke Kennard,1628379,0.4725182681227784,0.1510111283953572,0.40286013254272757,0.27845939133876313,0.19460002605087362,0.2928988700450769,-0.2405026013546677,39.82511764224548
